"Customer ID","Product","Quantity","Unit Price (USD)","Total Price (USD)","Purchase Date","Customer Name","Industry","Annual Revenue (USD)","Number of Employees","Customer Priority Rating","Account Type","Location","Current Products","Product Usage (%)","Cross-Sell Synergy","Last Activity Date","Opportunity Stage"
"C001","Drill Bits",9,250,2250,"2024-11-27","Edge Communications","Electronics",139000000,1000,"Medium","Customer - Direct","Austin, TX, USA","Core Management Platform",100,"Collaboration Suite,E","2024-11-19","Closed Won"
"C001","Protective Gloves",9,1000,9000,"2024-10-23","Edge Communications","Electronics",139000000,1000,"Medium","Customer - Direct","Austin, TX, USA","Core Management Platform",100,"Collaboration Suite,E","2024-11-19","Closed Won"
"C001","Generators",1,1000,1000,"2024-09-27","Edge Communications","Electronics",139000000,1000,"Medium","Customer - Direct","Austin, TX, USA","Core Management Platform",100,"Collaboration Suite,E","2024-11-19","Closed Won"
"C001","Drill Bits",6,750,4500,"2025-05-31","Edge Communications","Electronics",139000000,1000,"Medium","Customer - Direct","Austin, TX, USA","Core Management Platform",100,"Collaboration Suite,E","2024-11-19","Closed Won"
"C001","Workflow Automation",1,500,500,"2024-07-11","Edge Communications","Electronics",139000000,1000,"Medium","Customer - Direct","Austin, TX, USA","Core Management Platform",100,"Collaboration Suite,E","2024-11-19","Closed Won"
"C001","Generators",4,100,400,"2025-05-10","Edge Communications","Electronics",139000000,1000,"Medium","Customer - Direct","Austin, TX, USA","Core Management Platform",100,"Collaboration Suite,E","2024-11-19","Closed Won"
"C001","Protective Gloves",1,100,100,"2024-11-27","Edge Communications","Electronics",139000000,1000,"Medium","Customer - Direct","Austin, TX, USA","Core Management Platform",100,"Collaboration Suite,E","2024-11-19","Closed Won"
"C001","Workflow Automation",10,500,5000,"2025-05-08","Edge Communications","Electronics",139000000,1000,"Medium","Customer - Direct","Austin, TX, USA","Core Management Platform",100,"Collaboration Suite,E","2024-11-19","Closed Won"
"C002","Drills",4,100,400,"2024-06-10","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Backup Batteries",9,100,900,"2024-06-15","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Backup Batteries",8,750,6000,"2024-10-20","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Protective Gloves",4,1000,4000,"2024-10-11","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Generators",7,250,1750,"2025-03-18","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Workflow Automation",9,1000,6000,"2025-05-18","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Drills",2,250,500,"2024-10-06","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Drill Bits",6,1000,9000,"2025-04-17","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","API Integrations",1,500,500,"2024-06-26","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Collaboration Suite",5,250,1250,"2024-06-16","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Backup Batteries",7,500,3500,"2024-11-30","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Workflow Automation",8,1000,8000,"2024-06-27","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Safety Gear",1,750,750,"2025-02-07","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C002","Workflow Automation",1,750,750,"2025-01-19","Burlington Textiles Corp","Apparel",350000000,9000,"High","Customer-Direct","Burlington, NC, USA","Collaboration Suite",85,"Advanced Analytics,F","2024-11-19","Closed Won"
"C003","Protective Gloves",2,750,1500,"2025-03-22","Pyramid Construction Inc.","Construction",950000000,2680,"High","Customer-Channel","Paris, France","Advanced Analytics",70,"Workflow Automation,G","2024-11-19","Prospecting"
"C003","API Integrations",5,750,3750,"2024-06-27","Pyramid Construction Inc.","Construction",950000000,2680,"High","Customer-Channel","Paris, France","Advanced Analytics",70,"Workflow Automation,G","2024-11-19","Prospecting"
"C003","Advanced Analytics",6,750,4500,"2024-07-07","Pyramid Construction Inc.","Construction",950000000,2680,"High","Customer-Channel","Paris, France","Advanced Analytics",70,"Workflow Automation,G","2024-11-19","Prospecting"
"C003","API Integrations",9,1000,9000,"2024-10-29","Pyramid Construction Inc.","Construction",950000000,2680,"High","Customer-Channel","Paris, France","Advanced Analytics",70,"Workflow Automation,G","2024-11-19","Prospecting"
"C003","Safety Gear",10,100,1000,"2025-03-28","Pyramid Construction Inc.","Construction",950000000,2680,"High","Customer-Channel","Paris, France","Advanced Analytics",70,"Workflow Automation,G","2024-11-19","Prospecting"
"C003","Workflow Automation",6,250,1500,"2024-12-17","Pyramid Construction Inc.","Construction",950000000,2680,"High","Customer-Channel","Paris, France","Advanced Analytics",70,"Workflow Automation,G","2024-11-19","Prospecting"
"C004","Advanced Analytics",8,250,2000,"2024-07-10","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C004","Backup Batteries",6,500,4500,"2024-10-07","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C004","Backup Batteries",6,250,2250,"2024-12-26","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
"C004","Safety Gear",10,1000,10000,"2024-11-24","Grand Hotels & Resorts","Hospitality",500000000,5600,"High","Customer Direct","Chicago, IL, USA","Reporting Dashboard",65,"API Integrations,H","2024-11-19","Closed Won"
